genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
dactylis,0.286516204,308.89105971290326,0.132007676875,9.457185047724138,2.4989453306,,9.0,,77.95698925,0.537634409,0.0,98.92473118,1,138.0,1,0
dactyloctenium,,,,,,,,,,,,,1,3.0,0,0
dactylorhiza,,,,,,,,,,,,,2,14.0,0,0
dalbergia,,,,,,,,,,,,,2,5.0,0,0
dalea,0.3758,54.35241444,0.21687499999999998,16.794444444444444,,,,,,,,,5,30.0,0,0
damburneya,,,,,,,,,,,,,1,1.0,0,0
danthonia,0.3774,15.56514286,0.583333333,,,,,,,,,,2,2.0,0,0
daphne,,,,,,,,,,,,,4,15.0,0,0
daphniphyllum,0.272533333,63.17596899,0.26875,11.5057085,0.93,,,3.0,,,,,3,2.0,0,1
dasiphora,,,,,,,,,,,,,1,5.0,0,0
dasymaschalon,,,,14.66,0.382,,,,,,,,1,5.0,0,0
dasyphyllum,,,,,,,,,,,,,1,1.0,0,0
datura,,,,,,48.155,,,,,,,2,3.0,0,0
daucus,0.40437847,359.2836417,0.06412504366666667,9.123333333333333,1.5,,,171.92097701149424,,,,,2,13.0,0,2
daviesia,,,,,,,,,,,,,2,3.0,0,0
davilla,,,,,,,,,,,,,1,2.0,0,0
decaspermum,0.15535,63.99,0.42,14.13,,31.0,,,,,,,1,1.0,0,0
delonix,,,,,,55.61,,,,,,,1,1.0,0,0
delphinium,,,,,,,10.0,,90.0,0.0,0.0,100.0,8,9.0,1,0
delpjinium,,,,,,,,,,,,,1,2.0,0,0
dendrocalamus,,,,8.5,0.24,,,,,,,,1,1.0,0,0
dendrolycopodium,,,,,,,,,,,,,1,2.0,0,0
dendropanax,0.1273,223.2676,0.416666667,19.064526,,,,,,,,,1,1.0,0,0
deschampsia,0.92901753,399.0375,0.1427832815,10.24890474,0.837119445,,12.95,4.0,14.098771181266667,0.8392768440000001,0.0298029598,98.72277505258333,3,35.0,2,1
descurainia,0.1259,168.6505263,0.475,,,,,,,,,,1,9.0,0,0
desmanthus,0.25445,,0.416564,,,,,,,,,,2,3.0,0,0
desmodium,0.28264500000000004,82.0,0.1766505,20.5,,,40.2,,24.344650954800002,5.4329358716,0.15467580939999998,93.189760762,3,3.0,1,0
desmopsis,,,,,,,,4.5,,,,,1,0.0,0,1
desmostachya,,,,5.6,,,,,,,,,1,4.0,0,0
deutzia,0.2561875,185.459967025,0.15378000149999999,19.6212348675,,,,,,,,,12,15.0,0,0
deverra,,,,,,,,,,,,,2,3.0,0,0
dialium,,,,,,22.28225805588235,,,,,,,2,22.0,0,0
dianthus,1.99812147,684.8153846,0.047393131,,,,,,,,,,12,30.0,1,0
diapensia,0.22965,199.04014279,,6.6,0.8,,,,,,,,1,7.0,0,0
diarthron,,,,,,,,,,,,,1,1.0,0,0
dichanthelium,0.16843,,0.264243,,,,,,,,,,1,1.0,0,0
dichanthium,,,,6.7,,,18.857142857142858,5.0,26.229877491,0.8120783347142858,0.4370738814285714,90.11519247142857,1,10.0,1,1
dichelostemma,,,,,,,,,,,,,1,1.0,0,0
dichrostachys,,,,14.466666666666667,0.6366666666666667,,21.25,61.714285714285715,9.653720768125,0.13239703975,0.105052419125,99.6004014675,1,10.0,1,1
dicksonia,0.6593083333333333,16.507516646666666,0.20211154075,9.059999999999999,0.29,,,,,,,,1,12.0,0,0
dicliptera,,,,,,,15.71111111111111,,11.531857333355557,0.006087733727777778,1.2198971421222222,73.81934566872222,2,0.0,2,0
dicorynia,,,,,,,14.5,1.0,11.559139785,0.2688172045,0.0,99.46236558999999,1,4.0,1,1
dicranopteris,0.3117764735,56.161385135,0.44375,9.246814327875,,47.333333333333336,16.666666666666668,92.0,25.075472977999997,0.4400865763333333,0.013070186999999999,96.28156859,2,13.0,1,1
didymocheton,1.0138454545454545,7.367012992272728,0.17685630736363636,20.6,,,,,,,,,1,11.0,0,0
didymophysa,,,,,,,,,,,,,1,1.0,0,0
diervilla,,69.2,0.39,14.2,,,,,,,,,1,1.0,0,0
dieteria,,58.2539183975,,11.39190793,,,,,,,,,1,10.0,0,0
digitalis,,338.86961618,,,,,,,,,,,3,10.0,0,0
digitaria,0.355,36.09,,12.67,,27.2,27.675,34.63529411764706,25.04743898878333,1.1555860058749998,0.7482837321083333,92.92679873899999,10,12.0,3,2
dillenia,,,,,,,,,,,,,1,15.0,0,0
dillwynia,,,,,,,,,,,,,1,1.0,0,0
dimorphandra,,,,,,,,,,,,,2,2.0,0,0
dimorphocarpa,,,,,,,,,,,,,1,3.0,0,0
dioon,0.9552962963333332,13.638177635666667,0.23758206333333334,1.7293608526666668,,,,,,,,,1,4.0,0,0
dioscorea,0.2018,264.2472414,0.116,14.35542967,,61.745000000000005,,,,,,,4,4.0,0,0
diospyros,0.7952433151344538,13.45026767102381,0.29631094538095243,11.365293154761906,0.9014285714285715,,,,,,,,5,50.0,0,0
diphasiastrum,,,,,,,,,,,,,1,7.0,0,0
diplacus,,,,,,,,,,,,,3,4.0,0,0
diplazium,,2.5747007552500003,,10.627206668875,1.6391383949999998,,,,,,,,3,9.0,0,0
diplolepis,,,,,,,,,,,,,1,1.0,0,0
diplopterygium,,0.77260834475,,8.662084684,0.500128761,,,,,,,,2,6.0,0,0
diplorhynchus,,,,,,,,,,,,,1,2.0,0,0
diplospora,0.3013,83.34823529,0.165853659,20.020907,,,,,,,,,1,1.0,0,0
diplotaxis,,,,,,,,,,,,,3,3.0,0,0
dipsacus,2.29141947,308.3333333,0.033764021,,,,,,,,,,1,3.0,0,0
dipterocarpus,,,,,,,,,,,,,1,1.0,0,0
dipteryx,,,,,,,,,,,,,2,7.0,0,0
dirca,,57.6,0.61,10.0,,,,,,,,,1,1.0,0,0
distichlis,,,,,,,,,,,,,1,7.0,0,0
distylium,,,,,,,,6.0,,,,,1,0.0,0,1
ditaxis,,,,,,,,,,,,,2,2.0,0,0
dodonaea,0.381733333,16.99307339,0.327922114,10.85692644,,,,,,,,,1,2.0,0,0
doellingeria,0.3543,115.001075248,,,,,,,,,,,1,5.0,0,0
dolichorrhiza,,,,,,,,,,,,,1,3.0,0,0
dombeya,,,,,,,,,,,,,1,2.0,0,0
doniophyton,,,,,,,,,,,,,1,1.0,0,0
doronicum,,,,,,,,,,,,,1,3.0,0,0
dovyalis,0.62,10.76,0.33,,,,,,,,,,1,1.0,0,0
draba,0.13435,160.54498581666667,0.5,18.94153595,,,,,,,,,13,29.0,0,0
dracaena,,,,,,,,,,,,,1,3.0,0,0
dracocephalum,,,,,,,8.0,,45.37037037,0.0,7.407407405,92.592592595,4,6.0,1,0
dracophyllum,0.22019999999999998,130.51387446,0.22777995233333334,9.7,,,,,,,,,1,6.0,0,0
drepanocaryum,,,,,,,,,,,,,1,1.0,0,0
drepanostachyum,,,,,,,,,,,,,1,2.0,0,0
drimia,,,,,,,,,,,,,1,1.0,0,0
drosera,,,,,,,,,,,,,3,7.0,0,0
dryas,,,,9.925,0.6499999999999999,,,,,,,,2,29.0,0,0
drymaria,,135.50985429333332,,6.1412373185,,,,,,,,,2,8.0,0,0
drymocallis,0.3563166665,41.51212244,0.43729341749999995,6.8,,,,,,,,,2,6.0,0,0
dryobalanops,,,,,,,,,,,,,2,53.0,0,0
dryopteris,0.19931041675,79.7590467488125,0.218891565,12.756505341812499,1.07884393575,,,,,,,,6,19.0,0,0
drypetes,,,,7.6,,,,,,,,,1,1.0,0,0
dupontia,0.03,,,,,,,,,,,,2,12.0,0,0
durio,1.3,4.433333333333334,,,,,,,,,,,2,28.0,0,0
dussia,0.4089,10.82787033,0.704333333,16.12051,,,,,,,,,1,1.0,0,0
dysphania,,66.154,,6.1,,,1.0,,100.0,0.0,0.0,100.0,2,5.0,1,0
echeandia,,104.06573685333335,,5.133523345,,,,,,,,,1,4.0,0,0
echeveria,,,,,,,,,,,,,1,1.0,0,0
echinacea,0.3172525,82.5,0.34630325,19.2,,,,,,,,,4,13.0,0,0
echinaria,,,,,,,,,,,,,1,2.0,0,0
echinocactus,,,,,,,,,,,,,1,1.0,0,0
echinocereus,,,,,,,,,,,,,1,2.0,0,0
echinochloa,,33.57,,3.83,,,15.0,40.5,31.894125537249998,2.4650876605,0.0862068965,95.31103261625,4,10.0,1,1
echinodorus,0.4308,,0.40177,,,,,,,,,,1,1.0,0,0
echinolaena,,,,,,,,,,,,,1,1.0,0,0
echinophora,,,,,,,,,,,,,1,1.0,0,0
echinops,,,,,,,,85.66666666666667,,,,,3,2.0,0,1
echinopsis,,,,,,,,,,,,,2,4.0,0,0
echiochilon,,,,,,,,,,,,,1,1.0,0,0
echium,,,,,,,,,,,,,1,1.0,0,0
eclipta,0.487,30.6,,10.35,,,,,,,,,1,2.0,0,0
ekebergia,0.74,7.31,0.39,,,,,,,,,,1,1.0,0,0
elaeagnus,0.6752,21.408264516699997,0.273968254,31.209333333333337,3.19,,,,,,,,5,23.0,0,0
elaeis,,,,,,,,,,,,,1,4.0,0,0
elaeocarpus,0.38502847403809526,45.50374432014286,0.26932310839999996,15.228748334875,,66.791277769,,,,,,,5,31.0,0,0
eleiotis,,,,,,86.09,,,,,,,1,1.0,0,0
eleocharis,,82.6777933153901,0.1394772233672168,,,,,,,,,,6,306.0,0,0
elephantopus,,,,,,,7.75,35.0,20.970225351,9.05620897075,0.0,83.7621724775,1,0.0,1,1
eleusine,0.12528,,0.314068,,,,12.555555555555555,,41.750506054666666,0.040551500444444444,0.03216858011111111,88.02149845,2,2.0,1,0
eleutherococcus,0.2245,193.1835714,0.133333333,39.931073,,,,,,,,,1,1.0,0,0
elionurus,,,,,,,,,,,,,1,1.0,0,0
elsholtzia,,,,,,,5.0,,55.55555556,55.55555556,0.0,44.44444444,1,0.0,1,0
elwendia,,,,,,,,,,,,,1,1.0,0,0
elymus,0.23043964028401362,109.78455463665388,0.27603897322939563,13.331413014104763,1.8,,6.583333333333333,72.0,25.367231684999997,0.0034027494166666665,0.04392048083333333,99.94805356166667,24,193.0,3,1
elytropappus,,,,,,,,,,,,,1,1.0,0,0
embelia,0.20785,96.43036364,0.305555556,13.75057833,,,,,,,,,1,1.0,0,0
embothrium,,,,,,,17.666666666666668,5.0,28.397347604333333,0.0,0.0,100.0,1,0.0,1,1
emilia,,,,,,69.0,,,,,,,1,1.0,0,0
eminium,,,,,,,,,,,,,1,1.0,0,0
empetrum,0.2392,93.48529827133333,,7.836029566606061,1.0009410501818183,,,,,,,,1,94.0,0,0
enarganthe,,,,,,,,,,,,,1,3.0,0,0
encelia,,,,,,,,,,,,,2,65.0,0,0
encephalartos,1.2516111109999999,4.741928428666667,0.25463073966666666,3.0929997686666666,,,,,,,,,1,4.0,0,0
endlicheria,0.7114254629583333,17.66302333447222,0.24969801155555554,24.811590625,0.8056613015,,,,,,,,9,17.0,0,0
endocomia,1.228766667,3.572591837,0.240184598,11.44,1.28,,,,,,,,1,1.0,0,0
endopleura,,,,,,,,,,,,,1,3.0,0,0
endospermum,1.1066360747272728,13.57264645390909,0.2585895551818182,18.07400637090909,,88.0,,,,,,,2,40.0,0,0
engelhardia,0.5610916667916667,26.18851690772222,0.30471834740277776,10.723503916666667,0.5868981481481482,62.0,,,,,,,3,21.0,0,0
enneapogon,,,,,,,,,,,,,1,1.0,0,0
entada,,,,,,,,,,,,,1,1.0,0,0
entandrophragma,,0.30247043589743594,,,,,,,,,,,3,49.0,0,0
enterolobium,0.508133333,15.104335,0.184067148,15.08996725,,,,,,,,,1,10.0,0,0
enteropogon,,,,,,,15.25,60.0,12.673716361750001,2.03578601425,0.0,97.964213985,1,0.0,1,1
epacris,,,,,,,9.5,29.0,7.9481641475,0.0,0.0,99.657750705,1,0.0,1,1
eperua,,,,,,,10.208333333333332,1.0,12.8800507605,0.19413574425,12.5,84.71333883458334,2,4.0,2,2
ephedra,0.38748502083333336,25.99028431283333,0.35603506816666664,3.0362894533333336,,48.2312037,8.083333333333332,,54.73346258516667,0.03192848016666667,0.0,91.61336331999999,11,34.0,2,0
epicharis,0.5,20.9,,,,,,,,,,,1,1.0,0,0
epilasia,,,,,,,,,,,,,1,1.0,0,0
epilobium,1.8055348549999999,260.210478395,0.10578712850000001,9.137678891666667,1.865665457,,9.75,,65.1577542225,0.02299908,0.0509943905,99.92600653,11,50.0,2,0
epiphyllum,,,,,,,,,,,,,1,1.0,0,0
equisetum,0.4745735451666666,129.24638540333333,0.06549340183333334,14.176763555166668,1.1852840789999999,,11.0,,81.48450245,0.0,0.0,100.0,9,66.0,1,0
eragostis,,,,,,,,687.0370370370371,,,,,1,0.0,0,1
eragrostiella,,,,,,73.12,,,,,,,1,1.0,0,0
eragrostis,0.1949,74.57248307777779,0.38106249999999997,6.852464766500001,,,26.0,100.57142857142857,19.1164790685,0.75475116825,0.037880062,97.61632419,10,17.0,1,1
eremalche,,,,,,,,,,,,,1,1.0,0,0
eremobium,,,,,,,,,,,,,1,1.0,0,0
eremogone,,50.08046886333333,,9.550431967,,,,,,,,,5,11.0,0,0
eremopyrum,,,,,,,,,,,,,3,16.0,0,0
eremosparton,,,,,,,,,,,,,2,2.0,0,0
eremurus,,,,,,,,,,,,,3,7.0,0,0
eremus,,,,,,,,,,,,,1,4.0,0,0
erica,0.31975,17.180525160000002,0.8910721675000001,,,,,,,,,,7,17.0,0,0
ericameria,,,,,,,,,,,,,4,32.0,0,0
erigeron,0.6721522396,144.60500559260714,0.2200077004,9.94468793275,,,9.0,347.4166666666667,19.418639075,0.051599587333333335,0.0,99.91659379666667,21,56.0,4,1
eriobotrya,0.31884,46.15,0.39,16.18,,45.0,,,,,,,1,3.0,0,0
eriocoma,,,,,,,,,,,,,2,6.0,0,0
eriodictyon,,,,,,,,,,,,,2,2.0,0,0
eriogonum,,37.637142284444444,,8.737803201,,,,,,,,,11,35.0,0,0
eriophorum,0.7890441176470588,178.0,,7.541666666666667,1.06,0.0,,,,,,,7,271.0,0,0
eriophyllum,,,,,,,,,,,,,1,1.0,0,0
eriophyton,,,,,,,,,,,,,1,1.0,0,0
eriosema,,,,,,,,,,,,,2,2.0,0,0
eriotheca,0.5010816071666666,10.972313641333333,0.3297489593333333,,,,,,,,,,3,9.0,0,0
erisma,,,,,,,,,,,,,1,2.0,0,0
erithalis,0.386933333,11.12388324,0.394682994,9.01038587,,,,,,,,,1,2.0,0,0
eritrichium,,,,,,,6.5,,17.731958765,13.81443299,0.0,86.082474225,4,4.0,2,0
erodium,,71.73312271333334,,11.47977948,,,5.5,7.333333333333333,17.408460948,0.059416867625,0.0,99.50580052375,6,10.0,1,1
erophila,1.42775274,783.9538462,0.052189246,,,,,,,,,,1,2.0,0,0
erucaria,,,,,,,,,,,,,1,3.0,0,0
eryngium,1.61125799,207.2625,0.150241775,,,,,,,,,,3,13.0,0,0
erysimum,0.1219,359.7676816,0.288709678,,,,,,,,,,7,8.0,0,0
erythrina,,,,,,,,,,,,,2,2.0,0,0
erythronium,,,,,,,,,,,,,3,4.0,0,0
erythrophleum,,,,,,,,,,,,,2,19.0,0,0
erythroxylum,,,,,,,,,,,,,1,8.0,0,0
eschscholzia,,,,,,,,,,,,,1,1.0,0,0
eschweilera,0.629639619885965,7.823632415475,0.473201303675,,,,,,,,,,12,30.0,0,0
eucalyptus,0.2654895511388889,66.15934405444445,0.63,6.715,4.777777777777778,71.10344827586206,,,,,,,31,485.0,0,0
euchilopsis,,,,,,,,,,,,,1,1.0,0,0
euclea,,,,,,,,,,,,,1,1.0,0,0
euclidium,,,,,,,,,,,,,1,2.0,0,0
eugenia,0.4172938528409091,15.363908873575758,0.5236081816969697,9.836927153333333,0.720744034,,,,,,,,13,27.0,0,0
eumachia,0.493,15.09,0.392,,,,,,,,,,2,2.0,0,0
euonymus,0.34161353974242425,50.64315365048611,0.33343243230952385,18.418567685,2.1,,,,,,,,7,32.0,0,0
eupatorium,0.33416,,0.22159299999999998,,,,,,,,,,3,4.0,0,0
euphorbia,0.8467344866666666,133.99786814055554,0.20602903466666667,10.0810442498,,53.464,,274.2,,,,,45,75.0,0,1
euphrasia,1.88166672,131.9,0.1282051,,,,6.75,,11.427332862,0.0,0.0,74.502796166,5,11.0,1,0
euphrosyne,,,,,,,,,,,,,1,3.0,0,0
euploca,,,,,,41.81,,,,,,,2,3.0,0,0
euptelea,0.319408333,60.28073226,0.207932068,25.86417833,,,,,,,,,1,1.0,0,0
eurya,0.5096494361999999,51.9531004352,0.2493567954,9.351666666666667,0.20333333333333334,,,,,,,,2,11.0,0,0
eurycoma,,,,,,,,,,,,,1,2.0,0,0
eustachys,,29.25,0.159,3.8,,48.0,,,,,,,1,2.0,0,0
euterpe,,,,,,,,,,,,,2,3.0,0,0
evolvulus,,,,,,66.14,,,,,,,2,2.0,0,0
fagopyrum,,,,,,,,,,,,,1,1.0,0,0
fagus,0.39614096976126034,46.10875338841856,0.41432676730341883,10.668398897770833,0.6617142857142857,55.21119047619047,,,,,,,5,3059.0,0,0
faidherbia,,,,,,,,156.0,,,,,1,21.0,0,1
falcaria,2.00164672,147.0,0.1150432,,,,,,,,,,1,3.0,0,0
falcataria,,,,,,,,,,,,,1,2.0,0,0
fallopia,0.87199048,311.96666665,0.0653698835,,,,,,,,,,1,4.0,0,0
fallugia,,,,,,,,,,,,,1,3.0,0,0
faramea,0.452725,24.6539639196,0.38559115525,17.09765,,,,,,,,,5,7.0,0,0
farsetia,,,,,,,,,,,,,1,1.0,0,0
faurea,,,,,,,,,,,,,1,3.0,0,0
ferdinandusa,0.4155,35.21,0.2375,,,,,,,,,,2,2.0,0,0
ferocactus,,,,,,,,,,,,,2,5.0,0,0
ferula,,,,,,,,,,,,,16,27.0,0,0
festuca,0.5866915488888889,273.9982359382878,0.18768706283926218,7.872022055277777,1.125,26.6,21.488333333333333,25.583333333333332,12.59009518893389,0.37935029835944445,0.10433447754333333,98.78597038613334,42,512.0,6,3
ficus,0.47967399616777906,24.233545909614286,0.4438708606730769,12.95726262622222,0.6831736727613636,14.3416666665,,,,,,,20,162.0,0,0
filago,,,,,,,,,,,,,1,2.0,0,0
filifolium,,36.955,,,,,,,,,,,1,4.0,0,0
filipendula,0.183,220.6077778,0.171428571,15.36951433,1.427943504,,28.095238095238095,12.25,32.99551034771429,0.05215495952380952,0.11302704200000001,98.55830590809525,3,28.0,1,1
fimbristylis,,,,,,58.33,,,,,,,2,2.0,0,0
finschia,0.3867,15.30196718,0.297767543,8.7520659,,,,,,,,,1,2.0,0,0
flourensia,,,,,,,,,,,,,1,21.0,0,0
flueggea,,,,,,,,,,,,,1,4.0,0,0
foeniculum,,,,,,,,,,,,,1,2.0,0,0
fokienia,,,,,,,,,,,,,1,4.0,0,0
forsythia,,,,,,,,,,,,,1,1.0,0,0
fouquieria,,,,,,,,,,,,,1,6.0,0,0
fragaria,1.3446893066666668,393.5194745111111,0.1065836155,,,,7.7727272727272725,,56.146531801045455,0.679515704090909,0.03351074313636364,98.96101537545455,4,34.0,2,0
frangula,3.1,32.15,0.255,13.75,,,33.25,,24.6062540985,0.0050740815,0.050740816,97.44693252,2,12.0,1,0
frankenia,,,,,,,,,,,,,1,3.0,0,0
frasera,,,,,,,,,,,,,1,2.0,0,0
fraxinus,0.6744092521743964,26.165307886756736,0.29857777876916775,14.602189414112686,2.1764921621985813,35.704717399,,,,,,,12,1049.0,0,0
fritillaria,,,,,,,,,,,,,2,7.0,0,0
fuchsia,0.3429857142857143,84.02831517571428,0.13295060271428571,13.6,,,,,,,,,1,7.0,0,0
fumana,0.4134,5.515622559,0.824491871,,,,,,,,,,2,3.0,0,0
fumaria,,,,,,,,,,,,,2,4.0,0,0
gabonius,,,,,,,,4.0,,,,,1,0.0,0,1
gagea,,,,,,,,,,,,,10,23.0,0,0
gahnia,0.39,52.150000000000006,0.14500000000000002,4.375,0.185,,,,,,,,2,2.0,0,0
gaillardia,,59.75501280666666,,14.08684731,,,,,,,,,3,6.0,0,0
galanthus,,,,,,,,,,,,,1,1.0,0,0
galatella,,,,,,,,,,,,,3,7.0,0,0
galearia,0.5482,5.635617834,0.754807692,,,,,,,,,,1,1.0,0,0
galega,,,,,,,,,,,,,1,3.0,0,0
galeobdolon,,,,,,,17.1,,47.2174784392,15.7295556817,0.3133577475,83.220888102,1,0.0,1,0
galeopsis,,,,,,,,,,,,,4,5.0,0,0
galinsoga,,,,,,,19.0,,88.6547812,2.755267423,0.648298217,96.59643436,1,1.0,1,0
galium,1.2122271599999999,346.6690291085714,0.1345560176,32.8348165,,,17.203125,15.477272727272727,40.568949860593754,2.160042189875,0.1752506681953125,95.42671967429688,16,69.0,4,2
gallesia,,,,,,,,,,,,,1,60.0,0,0
garcinia,0.5870365277083334,38.605350703125005,0.34078208466666665,12.301250000000001,0.5614285714285714,49.5,,,,,,,3,11.0,0,0
garuga,0.8120555553333334,8.571525047333333,0.27864428999999996,7.989999999999999,1.05,,,,,,,,1,3.0,0,0
gastrolobium,,,,,,,,,,,,,1,2.0,0,0
gastrolychnis,,,,,,,,,,,,,1,2.0,0,0
gaultheria,,,,,,,,,,,,,1,2.0,0,0
gazania,,,,,,,,,,,,,1,1.0,0,0
geissanthus,0.6125,7.303460733,0.464720195,9.01685,0.500699413,,,,,,,,2,31.0,0,0
gelasia,,,,,,,,,,,,,2,5.0,0,0
gelium,,,,,,,,,,,,,1,1.0,0,0
genipa,,,,,,,,,,,,,1,4.0,0,0
genista,1.7309720725,97.1010573875,0.396322387,,,34.77098214,,120.66666666666667,,,,,9,21.0,0,1
gentiana,0.31,129.0,0.11,,,,3.5,,7.142857145,0.0,0.0,100.0,14,25.0,3,0
gentianella,,,,,,,2.5,,2.0408163265,0.0,0.0,100.0,4,9.0,1,0
gentianopsis,,,,,,,2.5,,48.684210525,0.0,0.0,100.0,2,0.0,2,0
geonoma,,,,,,,,,,,,,2,3.0,0,0
geraea,,,,,,,,,,,,,1,1.0,0,0
geranium,1.8014987,214.27826645214816,0.06258098916666667,9.1685748585,1.6649340124999998,,14.881944444444443,9.5,28.419311647527778,2.3510316505277777,0.2498625908680556,96.86618711222222,30,101.0,6,3
gerbera,,,,,,,13.375,4.0,24.362268956,14.77346689,5.6427583675,76.24288426125,1,0.0,1,1
geum,1.2227039268333333,424.31136365,0.17451125550000002,,,,12.941666666666666,74.0,55.378436839766664,4.32167223595,1.1642886773166665,93.96712670133334,8,43.0,2,1
gilia,,,,,,,,,,,,,1,1.0,0,0
giliastrum,,,,,,,,,,,,,1,1.0,0,0
ginkgo,0.8726933450000001,14.20590140909091,0.1506854570909091,7.693838811,,53.90925926,,,,,,,1,16.0,0,0
gironniera,0.5762238094285715,20.383031712857143,0.35217165957142854,27.437142857142856,0.5660000000000001,13.0,,,,,,,1,8.0,0,0
gladiolus,,,,,,,,,,,,,1,1.0,0,0
glandularia,,,,,,,28.75,2.3333333333333335,26.518790206,0.46966576274999994,0.0,98.6152275175,1,0.0,1,1
glechoma,2.01408248,218.4923077,0.076542438,,,,,,,,,,1,8.0,0,0
gleditsia,0.49946110999999993,15.7066920575,0.18725,20.861093750000002,,,,,,,,,1,14.0,0,0
gliricidia,0.8383333333333334,28.46666666666667,,17.8,1.1600000000000001,,,,,,,,1,44.0,0,0
glischrocaryon,,,,,,,,,,,,,1,1.0,0,0
globularia,,,,,,,,,,,,,2,2.0,0,0
glochidion,0.665037500125,12.793929963,0.28177233287500003,10.5475,0.55625,,,,,,,,2,6.0,0,0
gloriosa,,,,,,32.38,,,,,,,1,1.0,0,0
glossocardia,,,,,,93.21,,,,,,,1,1.0,0,0
glossostigma,,58.633341612,0.165591398,,,,,,,,,,1,22.0,0,0
glyceria,1.54158046,258.275,0.032136325,,,,,,,,,,5,19.0,0,0
glycine,0.410520197740113,,,15.0,,,10.183333333333334,3474.1666666666665,41.159960953449996,0.0100747335,0.05132186372500001,94.91600854758335,2,790.0,2,1
glycyrrhiza,,,,,,,,,,,,,4,11.0,0,0
gnaphalium,,,,,,62.71,,,,,,,6,13.0,1,0
gnetum,0.312160431,69.42193191999999,0.3634152593333333,1.9144554340000002,,,,,,,,,1,6.0,0,0
goldbachia,,,,,,,,,,,,,1,2.0,0,0
gompholobium,,,,,,,,,,,,,2,3.0,0,0
gomphrena,,,,,,58.89,,,,,,,1,1.0,0,0
goniolimon,,,,,,,,,,,,,4,6.0,0,0
goniothalamus,1.1956025044210528,4.263494072894737,0.3197987925789474,13.671764705882353,0.8121428571428572,,,,,,,,1,19.0,0,0
gonocarpus,,27.1776087,0.173584906,,,,,,,,,,1,2.0,0,0
goodenia,,,,,,,30.0,3.0,0.94610342925,3.848650686,0.0,91.8411428725,1,1.0,1,1
goodyera,,,,,,,,,,,,,1,3.0,0,0
gordonia,0.5544565432222223,21.520090324444443,0.32329611333333336,13.868400000000001,0.7143974754285713,,,,,,,,1,9.0,0,0
gossypium,,,,,,56.93,,,,,,,2,41.0,0,0
goupia,,,,,,,,,,,,,1,2.0,0,0
graffenrieda,0.5577587301746032,13.466979956674601,0.4046285246507937,10.161278015873016,0.46973643964285716,,15.75,,10.2870788935,10.30105997825,0.0,82.7069204125,4,22.0,1,0
grayia,,,,,,,,,,,,,1,7.0,0,0
greeneochloa,,,,,,,,,,,,,1,3.0,0,0
grevillea,,,,,,,,,,,,,2,3.0,0,0
grewia,,,,,,,,,,,,,2,5.0,0,0
grias,0.8764,5.149241310333333,0.32870415933333336,10.771533333333332,0.9210562973333333,,,,,,,,1,3.0,0,0
grindelia,,,,,,,,,,,,,1,3.0,0,0
griselinia,1.253025,7.101933533625,0.11645184375,21.035,1.21,,,,,,,,1,32.0,0,0
grona,,,,,,82.9,,,,,,,1,1.0,0,0
guaiacum,0.414966667,8.156947684,0.532222222,18.44622612,,,,,,,,,1,2.0,0,0
guarea,0.8918083333333332,8.797241617305556,0.25174811886805554,21.398105625,1.171396339888889,,,,,,,,3,20.0,0,0
guazuma,,,,,,40.38,,,,,,,1,1.0,0,0
guibourtia,,,,,,,,,,,,,2,34.0,0,0
guiera,,,,,,,,,,,,,1,3.0,0,0
gutierrezia,0.2661,82.49598592428572,0.225,7.866639788888888,,,,,,,,,2,54.0,0,0
gymnadenia,,,,,,,,,,,,,2,11.0,0,0
gymnocarpium,,,,,,,,,,,,,1,9.0,0,0
gymnocarpos,,,,,,,,,,,,,1,1.0,0,0
gymnospermium,,,,,,,,,,,,,1,1.0,0,0
gymnosporia,0.52,15.88,0.33,,,,,,,,,,2,2.0,0,0
gymnostoma,,,,,,,9.0,2.5,3.2807667457142857,1.3294729994285714,0.301898519,96.60371663285714,1,0.0,1,1
gypothamnium,,,,,,,,,,,,,1,1.0,0,0
gypsophila,,,,,,,,,,,,,9,15.0,0,0
hackelia,,,,,,,,,,,,,1,2.0,0,0
hakea,0.5857142857142856,63.42857142857143,0.06328571428571429,,,,,,,,,,7,28.0,0,0
halerpestes,,,,,,,16.0,,68.06989674,0.0,0.0,100.0,1,0.0,1,0
halocarpus,0.6430583333333333,12.626124455583334,0.2620569589166667,15.100000000000001,,,,,,,,,2,12.0,0,0
halogeton,,10.76,,9.14,,,,,,,,,1,1.0,0,0
halostachys,,,,,,,,,,,,,1,3.0,0,0
halothamnus,,,,,,,,,,,,,3,8.0,0,0
haloxylon,,,,,,,,,,,,,5,48.0,0,0
hamamelis,0.5565867025,24.4928718425,0.19310122125,9.093525,,,,,,,,,1,9.0,0,0
hamelia,0.27754,44.2842865,0.143859532,24.45920706,,,,,,,,,1,2.0,0,0
