sample_id,plant_species,latitude,longitude,MAT,MAP,pH,amf_seq_richness,amf_genus_richness,total_reads
316,Solidago canadensis,50.0861,14.6364,9.1,563,5.37,684,5,4224259
317,Conyza canadensis,49.5289,17.0861,9.1,617,7.59,3,3,7
319,Vitis vinifera,47.0692,4.85583,11.2,752,7.99,4,2,18
321,Tanacetum vulgare,50.2486,14.8917,9.2,588,7.38,400,5,354248
322,Vitis vinifera,46.2639,4.76583,11.9,840,7.63,32,2,11072
325,Daucus carota,50.2481,14.8922,9.2,588,7.43,10,2,291
327,Tanacetum vulgare,50.0267,14.5414,8.9,535,5.18,539,1,1177326
328,Daucus carota,50.0867,14.6342,9.1,563,4.77,17,3,537
329,Tanacetum vulgare,50.0867,14.6342,9.1,563,4.77,1556,4,18591935
330,Arrhenatherum elatius,49.5288,17.0863,9.1,617,7.66,5,3,79
331,Daucus carota,49.5288,17.0863,9.1,617,7.66,2,1,5
333,Daucus carota,50.0901,14.6371,9.1,563,4.62,979,4,15601603
335,Tanacetum vulgare,50.0861,14.6364,9.1,563,5.37,1891,2,44825218
336,Daucus carota,50.0861,14.6364,9.1,563,5.37,1643,5,9838120
339,Daucus carota,50.2486,14.8917,9.2,588,7.38,15,4,1482
340,Daucus carota,50.0867,14.6342,9.1,563,4.77,1,1,1
341,Vitis vinifera,46.3936,4.74694,11.7,783,8.09,13,1,3549
342,Vitis vinifera,46.9172,4.69917,10.7,857,8.12,416,3,4040386
343,Arrhenatherum elatius,50.1392,14.3699,8.9,464,7.05,2,2,11
344,Daucus carota,50.1393,14.3697,8.9,464,7.09,18,3,1219
345,Conyza canadensis,50.1393,14.3697,8.9,464,7.09,4,2,28
346,Daucus carota,50.0572,14.3561,8.7,485,6.68,43,6,2300
347,Artemisia vulgaris,49.7354,16.96,9.1,585,7.41,230,6,978047
348,Artemisia vulgaris,50.1393,14.3697,8.9,464,7.09,5,3,19
349,Achillea millefolium,50.1147,14.2922,8.5,506,6.25,139,2,91470
350,Daucus carota,50.0867,14.6308,9.1,556,4.7,167,5,54181
353,Echinops sphaerocephalus,50.0572,14.3547,8.7,485,6.29,416,5,199342
354,Daucus carota,49.7357,16.96,9.1,585,7.51,2,2,4
355,Artemisia vulgaris,50.1392,14.3699,8.9,464,7.05,76,2,42302
357,Tanacetum vulgare,50.2481,14.8922,9.2,588,7.43,57,4,17525
358,Daucus carota,50.0864,14.6356,9.1,563,5.57,367,3,1396317
359,Daucus carota,50.115,14.2897,8.5,509,6.33,1222,2,8995596
360,Daucus carota,50.0572,14.3547,8.7,485,6.29,3,1,5
361,Daucus carota,49.9989,14.3386,9.0,460,7.55,158,2,55896
362,Arrhenatherum elatius,50.1147,14.2922,8.5,506,6.25,848,3,2659972
367,Daucus carota,50.0572,14.3542,8.7,485,7.25,1,1,1
368,Achillea millefolium,50.0572,14.3542,8.7,485,7.25,50,7,8404
369,Arrhenatherum elatius,50.2078,14.6825,9.5,534,6.51,7,5,17
370,Arrhenatherum elatius,50.0572,14.3542,8.7,485,7.25,2,2,2
371,Daucus carota,50.0572,14.3547,8.7,485,6.29,2,1,6
376,Daucus carota,50.0572,14.3542,8.7,485,7.25,3,1,18
377,Arrhenatherum elatius,50.0269,14.5419,9.0,512,6.48,756,2,3976635
378,Daucus carota,50.21,14.6792,9.4,558,4.93,1175,3,15442279
379,Knautia arvensis,50.074,12.7813,6.2,666,5.09,1,1,5
380,Tanacetum vulgare,50.5714,14.6514,8.7,580,6.42,22,1,3762
382,Daucus carota,50.5714,14.6514,8.7,580,6.42,17,4,353
383,Arrhenatherum elatius,50.0853,14.2792,8.4,507,7.1,3,2,35
384,Symphiotrichum novi-belgii,50.115,14.2897,8.5,509,6.33,299,4,249036
385,Vitis vinifera,46.9172,4.69917,10.7,857,8.12,94,4,28897
386,Solidago canadensis,50.0861,14.6364,9.1,563,5.37,351,4,720307
388,Arrhenatherum elatius,50.115,14.2897,8.5,509,6.33,2,2,7
389,Daucus carota,49.7354,16.96,9.1,585,7.41,12,4,69
391,Tanacetum vulgare,50.21,14.6792,9.4,558,4.93,29,2,154716
392,Vitis vinifera,46.9161,4.69861,11.6,745,8.06,9,3,67
395,Arrhenatherum elatius,49.7357,16.96,9.1,585,7.51,78,4,163395
397,Daucus carota,50.0903,14.6369,9.1,563,5.99,574,3,1329870
398,Solidago canadensis,50.0861,14.6364,9.1,563,5.37,923,6,6178535
399,Artemisia vulgaris,49.5288,17.0863,9.1,617,7.66,24,4,2172
400,Tanacetum vulgare,50.0867,14.6342,9.1,563,4.77,815,1,5865555
402,Erigeron annuus,50.0867,14.6342,9.1,563,4.77,208,3,1010489
404,Arrhenatherum elatius,50.0572,14.3547,8.7,485,6.29,318,3,180463
406,Achillea millefolium,50.0572,14.3561,8.7,485,6.68,1,1,1
408,Arrhenatherum elatius,50.0903,14.6369,9.1,563,5.99,16,4,425
410,Tanacetum vulgare,50.0867,14.6308,9.1,556,4.7,5,2,17
411,Arrhenatherum elatius,50.0572,14.3561,8.7,485,6.68,9,3,716
412,Daucus carota,50.1147,14.2922,8.5,506,6.25,839,2,4758137
413,Daucus carota,50.2078,14.6825,9.5,534,6.51,7,3,55
414,Echinops sphaerocephalus,50.0853,14.2792,8.4,507,7.1,2,2,2
415,Achillea millefolium,50.0853,14.2792,8.4,507,7.1,2,2,2
416,Daucus carota,50.0583,14.3481,8.7,467,6.76,24,3,909
